Year,Month, Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
1978,Jan, na , na , na , na , na , na , na ,18652,3148,56,1956,518,3383,656,826,367,58,216,8512,3955,2526,2266,2309, na , na ,2185, na ,1881,433,8362,1328,28421,3612,587
1978,Feb, na , na , na , na , na , na , na ,20394,5805,7,1659,493,3493,565,681,389,128,224,9381,4484,2694,2192,2345, na , na ,1596, na ,2112,514,8251,1434,13982,2521,354
1978,Mar, na , na , na , na , na , na , na ,20136,4510,55,2460,601,4141,657,809,560,287,321,10289,5583,2771,2002,2575, na , na ,1461, na ,2183,472,9901,1662,16536,2727,405
1978,Apr, na , na , na , na , na , na , na ,13508,3254,11,2336,701,3431,756,948,538,65,273,7470,5309,3183,1677,2649, na , na ,1472, na ,1590,405,11782,1586,16499,3197,736
1978,May, na , na , na , na , na , na , na ,14472,3212,3,2143,674,5272,720,885,488,74,263,6557,3491,2248,1028,2754, na , na ,1189, na ,1245,431,13448,2025,20690,5130,514
1978,Jun, na , na , na , na , na , na , na ,12992,3589,1,2112,645,4908,758,823,463,164,395,5545,2806,1778,830,2588, na , na ,853, na ,1233,333,10585,1179,17915,4478,688
1978,Jul, na , na , na , na , na , na , na ,15363,5376,11,2413,686,4220,893,912,758,98,451,7688,4174,4386,1195,5456, na , na ,1823, na ,1326,465,10945,1665,19085,5441,662
1978,Aug, na , na , na , na , na , na , na ,24656,7059,6,3421,595,4379,636,946,841,171,442,8156,4834,6695,3408,3883, na , na ,1417, na ,1209,321,9569,1247,20802,6127,617
1978,Sep, na , na , na , na , na , na , na ,13397,3603,4,2269,491,5004,516,911,1095,141,469,7627,4128,2980,1445,3143, na , na ,1383, na ,1586,412,8839,1244,19622,5970,866
1978,Oct, na , na , na , na , na , na , na ,16897,3825,17,2643,740,5775,668,1001,606,88,327,9354,5098,2693,1254,3422, na , na ,2052, na ,2470,688,14039,1525,18269,4731,701
1978,Nov, na , na , na , na , na , na , na ,21717,3865,81,3540,876,6003,580,1017,1313,287,515,9871,6087,3075,1998,2939, na , na ,1903, na ,2957,687,13027,1792,14866,3241,650
1978,Dec, na , na , na , na , na , na , na ,17087,4856,13,3426,801,5807,747,1384,697,165,457,9347,5042,2003,1618,2622, na , na ,1672, na ,2087,539,7503,1373,22197,4487,841
1979,Jan, na , na , na , na , na , na , na ,20383,5485,100,2026,639,5936,846,1100,685,371,439,10071,5510,2796,2567,2943, na , na ,1850, na ,2271,822,7449,1507,27175,4084,729
1979,Feb, na , na , na , na , na , na , na ,23356,5124,6,3604,716,5571,759,918,700,690,331,10703,5717,3042,2201,2631, na , na ,1506, na ,2523,525,8378,1615,13536,2503,458
1979,Mar, na , na , na , na , na , na , na ,21471,4158,13,4768,950,6446,855,1119,1070,440,472,11223,6372,3631,2311,2924, na , na ,1555, na ,2807,1091,10341,1595,13494,3096,475
1979,Apr, na , na , na , na , na , na , na ,16002,5180,7,4068,970,6193,844,1237,930,174,522,9187,6841,3701,1351,3164, na , na ,1650, na ,2094,860,10040,1482,15280,3941,878
1979,May, na , na , na , na , na , na , na ,17023,3876,3,4243,1096,7174,1081,1082,847,151,450,7641,3992,2484,1124,3207, na , na ,1366, na ,1726,682,10487,1567,19273,5961,698
1979,Jun, na , na , na , na , na , na , na ,18307,3920,13,3403,944,5959,1042,1068,967,217,507,7452,3746,2779,1182,3531, na , na ,1179, na ,1612,1059,9499,1182,16574,6133,601
1979,Jul, na , na , na , na , na , na , na ,20061,6209,40,5308,1015,5198,1167,1075,1153,260,624,8952,4534,5306,1498,5720, na , na ,1722, na ,1714,1094,10154,1450,16105,6692,703
1979,Aug, na , na , na , na , na , na , na ,28200,7965,21,5883,924,4424,937,1165,1584,284,623,9714,5164,6525,3688,4245, na , na ,1518, na ,1593,827,9686,1368,19293,7637,707
1979,Sep, na , na , na , na , na , na , na ,20267,4702,14,4119,1162,5406,829,1213,1480,206,457,9009,3930,3023,1302,3231, na , na ,1236, na ,1670,1066,8660,1144,18890,6642,818
1979,Oct, na , na , na , na , na , na , na ,20282,5052,42,4129,1313,5930,903,993,1905,247,516,11243,5788,3064,1477,3534, na , na ,1722, na ,2624,1048,13159,1474,15967,5609,831
1979,Nov, na , na , na , na , na , na , na ,24247,4525,75,4891,1221,5550,720,1122,1444,239,501,11880,6773,3116,2017,3667, na , na ,2215, na ,3273,1162,12384,1955,13017,3758,671
1979,Dec, na , na , na , na , na , na , na ,20656,6468,32,5254,1170,6608,985,1369,1164,169,486,10274,5173,2574,2042,3421, na , na ,1782, na ,2719,1166,8507,1546,17758,4731,1109
1980,Jan, na , na , na , na , na , na , na ,26727,4367,42,3611,1111,6106,967,1102,1097,286,447,11204,5593,3035,2603,3402, na , na ,1969, na ,2780,952,8842,1601,26663,4383,1016
1980,Feb, na , na , na , na , na , na , na ,25617,9913,81,5334,1075,5355,864,1039,1173,459,390,11725,5604,2525,2504,3037, na , na ,1777, na ,3023,896,10059,2085,14784,3138,626
1980,Mar, na , na , na , na , na , na , na ,27366,5638,69,5666,1257,5980,1061,1247,1214,615,509,12924,6871,3591,2700,3846, na , na ,2063, na ,3187,997,11681,1962,15724,3442,702
1980,Apr, na , na , na , na , na , na , na ,18765,6770,73,4107,1334,6056,1291,1181,1379,172,495,10181,6187,2940,1431,3150, na , na ,1561, na ,2505,1074,10638,1618,18424,3892,947
1980,May, na , na , na , na , na , na , na ,21310,5237,52,4740,1550,10443,1187,1272,1257,150,469,8332,4854,3034,1540,3531, na , na ,1259, na ,1959,1009,11127,1686,19606,6456,762
1980,Jun, na , na , na , na , na , na , na ,17557,5561,21,3424,1256,8505,1227,1152,1807,278,599,7517,4370,2469,1294,4277, na , na ,1363, na ,2002,764,10870,1359,18937,6538,713
1980,Jul, na , na , na , na , na , na , na ,22182,8915,36,5309,1157,6654,1531,1228,2018,221,718,10285,6232,3988,1875,6322, na , na ,2039, na ,1939,960,11374,1806,21202,6982,867
1980,Aug, na , na , na , na , na , na , na ,33648,11089,42,5220,1154,6064,1110,1247,2354,302,828,11277,6826,6099,4310,4698, na , na ,1593, na ,1974,495,11096,1626,20401,7751,995
1980,Sep, na , na , na , na , na , na , na ,23173,5916,45,3668,1116,6445,1626,1130,1394,230,568,9817,5144,3277,1447,3878, na , na ,1264, na ,2145,528,10553,1301,20269,6751,938
1980,Oct, na , na , na , na , na , na , na ,20085,5913,47,4388,1293,8028,1227,1416,2226,196,559,12421,6686,3292,1671,3821, na , na ,2281, na ,3276,1012,14576,1886,21348,5276,990
1980,Nov, na , na , na , na , na , na , na ,26036,5342,41,4812,1426,6663,1300,1703,1102,125,397,11088,7453,3676,2098,3991, na , na ,2357, na ,3977,720,15306,2132,19458,4204,817
1980,Dec, na , na , na , na , na , na , na ,24929,7821,90,6049,1545,9163,1676,1761,1504,181,527,11586,7219,2310,2867,3184, na , na ,2446, na ,3331,511,9643,1813,22370,4230,1122
1981,Jan, na , na , na , na , na , na , na ,30147,5271,49,3753,1462,8335,1475,1268,1343,253,549,11556,8369,2769,2826,4160, na ,656,2706, na ,3955,338,10001,2177,26757,4517,1497
1981,Feb, na , na , na , na , na , na , na ,31356,11199,42,7289,1217,7214,1127,1131,1374,296,442,12097,6613,2759,2147,3680, na ,682,2053, na ,3673,521,12194,2197,17795,2926,698
1981,Mar, na , na , na , na , na , na , na ,34243,6133,47,5265,1395,7837,1322,1444,1436,645,524,14089,7276,3879,2507,3723, na ,861,2193, na ,3554,465,11647,2444,17334,3463,870
1981,Apr, na , na , na , na , na , na , na ,23208,7854,72,3680,1672,9935,1313,1605,1340,149,692,12048,8203,3334,2097,3614, na ,940,1958, na ,3167,586,11297,2105,18725,3701,882
1981,May, na , na , na , na , na , na , na ,24873,5316,61,3640,1876,12380,1303,1620,1193,186,554,10259,4982,2858,1521,3942, na ,712,1705, na ,2486,476,12743,1827,20643,5088,932
1981,Jun, na , na , na , na , na , na , na ,24589,5986,46,3687,2101,10374,1541,1531,1599,213,757,8712,4272,2680,1333,3668, na ,567,1474, na ,2027,481,11935,1591,21782,5731,787
1981,Jul, na , na , na , na , na , na , na ,27078,8341,16,5424,1970,9366,1545,1889,2138,199,915,11519,6776,4774,1787,6316, na ,1433,2387, na ,2408,442,12402,2091,24046,5529,1118
1981,Aug, na , na , na , na , na , na , na ,44867,11244,78,5626,2071,9229,1306,1979,2587,391,1146,13823,7395,7217,4012,5443, na ,1142,1676, na ,2025,462,11678,1751,22540,6883,1149
1981,Sep, na , na , na , na , na , na , na ,27138,5854,34,3402,1545,8196,1100,1674,1885,147,698,10809,5546,3397,1491,4249, na ,600,1563, na ,1979,435,10235,1320,20311,5950,1056
1981,Oct, na , na , na , na , na , na , na ,25680,5329,67,3775,1945,11122,960,2020,2576,167,695,13607,7036,4233,1713,3963, na ,936,2569, na ,3708,602,15050,2179,22322,5629,1091
1981,Nov, na , na , na , na , na , na , na ,33614,5832,112,4426,2199,10327,1154,2240,1163,134,586,13044,6974,3753,1988,3771, na ,801,2626, na ,3891,676,14452,2400,22513,3977,823
1981,Dec, na , na , na , na , na , na , na ,28047,7396,106,5376,2543,12576,1233,2586,1539,148,776,13479,6392,3011,1850,3041, na ,660,2555, na ,3244,608,9958,2112,23841,4590,1641
